,PLAYER,2020/21,2021/22,2022/23,2023/24,,
1.,Stephen Curry,"$43,006,362","$45,780,966",$0,$0,,
2.,Chris Paul,"$41,358,814","$44,211,146",$0,$0,,
2.,Russell Westbrook,"$41,358,814","$44,211,146","$47,063,478",$0,,
4.,James Harden,"$41,254,920","$44,310,840","$47,366,760",$0,,
4.,John Wall,"$41,254,920","$44,310,840","$47,366,760",$0,,
6.,LeBron James,"$39,219,566","$41,180,544","$44,474,988",$0,,
7.,Kevin Durant,"$39,058,950","$40,918,900","$42,778,850",$0,,
8.,Paul George,"$35,450,412","$39,344,970","$42,492,568","$45,640,165",,
9.,Klay Thompson,"$35,361,360","$37,980,720","$40,600,080","$43,219,440",,
10.,Mike Conley,"$34,502,132",$0,$0,$0,,
11.,Kemba Walker,"$34,379,100","$36,016,200","$37,653,300",$0,,
11.,Kawhi Leonard,"$34,379,100","$36,016,200",$0,$0,,
11.,Jimmy Butler,"$34,379,100","$36,016,200","$37,653,300",$0,,
14.,Tobias Harris,"$34,358,850","$35,995,950","$37,633,050","$39,270,150",,
15.,Blake Griffin,"$33,900,241","$29,764,126",$0,$0,,
16.,Kyrie Irving,"$33,460,350","$35,053,700","$36,647,050",$0,,
17.,Khris Middleton,"$33,051,724","$35,500,000","$37,984,276","$40,396,552",,
18.,Anthony Davis,"$32,742,000","$35,361,360","$37,980,720","$40,600,080",,
19.,Damian Lillard,"$31,626,953","$43,750,000","$47,250,000","$50,750,000",,
20.,Kevin Love,"$31,258,256","$31,258,256","$28,942,830",$0,,
21.,Ben Simmons,"$30,559,200","$33,003,936","$35,448,672","$37,893,408",,
21.,Pascal Siakam,"$30,559,200","$33,003,936","$35,448,672","$37,893,408",,
23.,Kyle Lowry,"$30,500,000",$0,$0,$0,,
24.,Steven Adams,"$29,592,695","$17,073,171","$17,926,829",$0,,
25.,Nikola Jokic,"$29,542,010","$31,579,390","$33,616,770",$0,,
25.,Andrew Wiggins,"$29,542,010","$31,579,390","$33,616,770",$0,,
25.,Joel Embiid,"$29,542,010","$31,579,390","$33,616,770",$0,,
28.,Kristaps Porzingis,"$29,467,800","$31,650,600","$33,833,400","$36,016,200",,
28.,Karl-Anthony Towns,"$29,467,800","$31,650,600","$33,833,400","$36,016,200",,
28.,Devin Booker,"$29,467,800","$31,650,600","$33,833,400","$36,016,200",,
31.,CJ McCollum,"$29,354,152","$30,864,198","$33,333,333","$35,802,469",,
32.,Bradley Beal,"$28,751,774","$34,502,129","$37,262,299",$0,,
32.,Andre Drummond,"$28,751,774",$0,$0,$0,,
34.,D'Angelo Russell,"$28,649,250","$30,013,500","$31,377,750",$0,,
35.,Gordon Hayward,"$28,500,000","$29,925,000","$30,075,000","$31,500,000",,
36.,Otto Porter,"$28,489,239",$0,$0,$0,,
37.,DeMar DeRozan,"$27,739,975",$0,$0,$0,,
38.,Giannis Antetokounmpo,"$27,528,088","$39,340,000","$42,487,200","$45,634,400",,
39.,Al Horford,"$27,500,000","$27,000,000","$26,500,000",$0,,
40.,Jamal Murray,"$27,285,000","$29,467,800","$31,650,600","$33,833,400",,
40.,Brandon Ingram,"$27,285,000","$29,467,800","$31,650,600","$33,833,400",,
42.,Rudy Gobert,"$26,775,281","$34,844,000","$37,631,520","$40,419,040",,
43.,Nikola Vucevic,"$26,000,000","$24,000,000","$22,000,000",$0,,
44.,Jrue Holiday,"$25,876,111","$26,765,000",$0,$0,,
45.,Jaylen Brown,"$25,035,118","$25,633,928","$27,532,738","$29,431,548",,
46.,Buddy Hield,"$24,931,817","$22,977,272","$21,022,728","$19,068,183",,
47.,Draymond Green,"$22,246,956","$24,026,712","$25,806,468","$27,586,224",,
48.,Harrison Barnes,"$22,215,909","$20,284,091","$18,352,273",$0,,
49.,Fred VanVleet,"$21,250,000","$19,675,926","$21,250,000","$22,824,074",,
50.,Victor Oladipo,"$21,000,000",$0,$0,$0,,
51.,Malcolm Brogdon,"$20,700,000","$21,700,000","$22,600,000",$0,,
52.,Julius Randle,"$19,845,000","$19,800,000",$0,$0,,
53.,Domantas Sabonis,"$19,800,000","$18,500,000","$18,500,000","$19,400,000",,
54.,Gary Harris,"$19,610,714","$20,932,143",$0,$0,,
55.,Danilo Gallinari,"$19,500,000","$20,475,000","$21,450,000",$0,,
55.,Zach LaVine,"$19,500,000","$19,500,000",$0,$0,,
57.,Jerami Grant,"$19,050,000","$20,002,500","$20,955,000",$0,,
58.,Tim Hardaway Jr,"$18,975,000",$0,$0,$0,,
59.,Terry Rozier,"$18,900,000","$17,905,263",$0,$0,,
60.,Gorgui Dieng,"$18,287,640",$0,$0,$0,,
61.,Aaron Gordon,"$18,136,364","$16,409,091",$0,$0,,
62.,Clint Capela,"$18,000,000","$19,103,448","$20,206,896",$0,,
62.,Bogdan Bogdanovic,"$18,000,000","$18,000,000","$18,000,000","$18,000,000",,
62.,Myles Turner,"$18,000,000","$18,000,000","$18,000,000",$0,,
62.,Goran Dragic,"$18,000,000","$19,440,000",$0,$0,,
66.,Bojan Bogdanovic,"$17,850,000","$18,700,000","$19,550,000",$0,,
67.,LaMarcus Aldridge,"$17,628,340",$0,$0,$0,,
68.,Evan Fournier,"$17,150,000",$0,$0,$0,,
69.,Ricky Rubio,"$17,000,000","$17,800,000",$0,$0,,
70.,Eric Bledsoe,"$16,875,000","$18,125,000","$19,375,000",$0,,
71.,Eric Gordon,"$16,869,267","$18,218,818","$19,568,360","$20,917,902",,
72.,Caris LeVert,"$16,203,704","$17,500,000","$18,796,296",$0,,
73.,Joe Harris,"$16,071,429","$16,201,074","$18,642,857","$19,928,571",,
74.,James Johnson,"$16,047,100",$0,$0,$0,,
75.,Dennis Schroeder,"$15,500,000",$0,$0,$0,,
76.,Cody Zeller,"$15,415,730",$0,$0,$0,,
77.,Danny Green,"$15,365,853",$0,$0,$0,,
78.,Davis Bertans,"$15,000,000","$16,000,000","$16,000,000","$17,000,000",,
78.,Jonas Valanciunas,"$15,000,000","$14,000,000",$0,$0,,
78.,Andre Iguodala,"$15,000,000","$15,000,000",$0,$0,,
81.,Marcus Morris,"$14,883,721","$15,627,907","$16,372,093","$17,116,279",,
82.,Rudy Gay,"$14,500,000",$0,$0,$0,,
83.,Kelly Oubre,"$14,375,000",$0,$0,$0,,
84.,Dejounte Murray,"$14,286,000","$15,428,880","$16,571,120","$17,714,000",,
85.,Will Barton,"$13,723,214","$14,669,642",$0,$0,,
86.,Thaddeus Young,"$13,545,000","$14,190,000",$0,$0,,
87.,Patrick Mills,"$13,535,714",$0,$0,$0,,
88.,Terrence Ross,"$13,500,000","$12,500,000","$11,500,000",$0,,
89.,Malik Beasley,"$13,425,895","$14,491,964","$15,558,035","$16,524,106",,
90.,Patrick Beverley,"$13,333,333","$14,320,987",$0,$0,,
91.,Christian Wood,"$13,015,874","$13,666,667","$14,317,459",$0,,
92.,JJ Redick,"$13,013,700",$0,$0,$0,,
