SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FTM,FTA,FG3M,PTS,REB,AST,STL,BLK,TOV
2019-20,1629048,Goga Bitadze,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,16.3,2,5,0,0,0,4,3,2,1,2,2
2019-20,203926,Doug McDermott,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,21.883333333333333,8,16,2,3,5,23,4,0,1,0,0
2019-20,1628977,Hamidou Diallo,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,39.78333333333333,10,22,3,5,4,27,11,1,0,1,2
2019-20,202692,Alec Burks,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,22.15,6,11,0,0,4,16,5,5,2,0,0
2019-20,1629126,Deonte Burton,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,29.533333333333335,3,11,0,0,0,6,6,5,0,0,4
2019-20,203524,Solomon Hill,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,40.56666666666667,5,13,10,12,1,21,7,3,1,0,3
2019-20,1629611,Terance Mann,LA Clippers,0021901317,2020-08-14,LAC vs. OKC,W,41.9,8,12,8,13,1,25,14,9,2,0,3
2019-20,202699,Tobias Harris,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,23.966666666666665,6,10,4,4,2,18,7,4,1,0,0
2019-20,201143,Al Horford,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,21.766666666666666,4,7,0,0,2,10,3,4,0,0,3
2019-20,1628420,Monte Morris,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,29.85,4,14,6,6,2,16,6,4,0,1,2
2019-20,202335,Patrick Patterson,LA Clippers,0021901317,2020-08-14,LAC vs. OKC,W,38.9,4,16,5,6,4,17,14,0,0,0,2
2019-20,1629599,Amir Coffey,LA Clippers,0021901317,2020-08-14,LAC vs. OKC,W,49.638333333333335,7,17,5,8,2,21,2,4,4,1,2
2019-20,1627750,Jamal Murray,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,10.2,4,5,0,0,3,11,0,1,1,0,0
2019-20,1627763,Malcolm Brogdon,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,24.516666666666666,6,14,0,0,4,16,6,6,0,0,3
2019-20,1628408,PJ Dozier,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,30.8,6,9,3,3,5,20,5,8,2,0,1
2019-20,1629744,Matt Thomas,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,28.3,4,6,2,2,2,12,3,2,1,0,2
2019-20,1628410,Edmond Sumner,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,30.716666666666665,3,7,1,1,0,7,2,6,0,0,2
2019-20,203585,Rodney McGruder,LA Clippers,0021901317,2020-08-14,LAC vs. OKC,W,51.266666666666666,2,11,4,6,1,9,11,2,2,0,2
2019-20,1628993,Alize Johnson,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,38.31666666666667,3,8,3,4,2,11,17,4,0,1,3
2019-20,201569,Eric Gordon,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,23.4,4,10,2,2,3,13,2,2,0,1,1
2019-20,2617,Udonis Haslem,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,23.516666666666666,3,5,0,0,1,7,8,0,0,0,1
2019-20,1628778,Paul Watson,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,27.466666666666665,8,13,2,3,4,22,6,2,1,0,1
2019-20,201935,James Harden,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,26.283333333333335,9,16,5,5,4,27,3,10,1,2,7
2019-20,1629639,Tyler Herro,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,27.933333333333334,6,16,1,1,3,16,1,3,0,0,3
2019-20,203482,Kelly Olynyk,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,20.316666666666666,2,9,0,0,2,6,6,0,0,1,0
2019-20,1629134,Kendrick Nunn,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,32.96666666666667,8,27,6,6,1,23,2,4,3,1,5
2019-20,203200,Justin Holiday,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,23.85,3,5,2,2,3,11,7,0,1,0,2
2019-20,1629598,Chris Clemons,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,16.6,2,7,0,0,0,4,1,4,1,1,1
2019-20,1626169,Stanley Johnson,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,28.566666666666666,9,16,1,3,4,23,4,6,1,1,5
2019-20,1626259,Malcolm Miller,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,25.616666666666667,4,5,0,0,2,10,1,3,1,0,0
2019-20,203584,Troy Daniels,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,28.0,4,11,0,0,2,10,3,1,1,0,3
2019-20,203943,Noah Vonleh,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,6.5,1,2,0,0,0,2,0,1,0,0,0
2019-20,201149,Joakim Noah,LA Clippers,0021901317,2020-08-14,LAC vs. OKC,W,28.983333333333334,4,7,1,2,0,9,6,5,1,0,4
2019-20,203500,Steven Adams,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,6.366666666666666,0,2,0,0,0,0,4,0,0,0,1
2019-20,1628983,Shai Gilgeous-Alexander,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,13.516666666666667,6,10,1,1,0,13,4,0,1,0,3
2019-20,203460,Andre Roberson,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,28.116666666666667,1,9,1,2,0,3,5,2,0,1,0
2019-20,1628968,Brian Bowen II,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,2.2666666666666666,1,1,0,0,0,2,0,0,0,0,0
2019-20,203124,Kyle O'Quinn,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,16.6,3,5,0,0,0,6,6,5,0,1,1
2019-20,203999,Nikola Jokic,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,10.2,1,1,0,0,0,2,1,2,0,0,1
2019-20,1626178,Rondae Hollis-Jefferson,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,22.3,3,9,0,1,0,6,6,3,0,1,1
2019-20,201188,Marc Gasol,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,16.716666666666665,1,3,0,0,0,2,3,5,1,1,2
2019-20,1628390,Terrance Ferguson,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,17.466666666666665,0,2,0,0,0,0,1,0,0,0,0
2019-20,203118,Mike Scott,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,19.866666666666667,3,4,3,4,1,10,7,3,0,0,0
2019-20,203488,Mike Muscala,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,14.266666666666667,1,3,0,0,1,3,1,0,0,1,0
2019-20,1628388,T.J. Leaf,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,18.016666666666666,3,9,0,1,0,6,3,1,2,0,0
2019-20,1628513,Naz Mitrou-Long,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,2.2666666666666666,0,0,0,0,0,0,0,1,0,0,1
2019-20,1628988,Aaron Holiday,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,17.283333333333335,5,7,0,0,1,11,2,2,3,0,2
2019-20,1629621,Marial Shayok,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,7.933333333333334,1,4,2,2,1,5,2,0,0,0,1
2019-20,1627788,Furkan Korkmaz,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,16.733333333333334,4,7,2,2,2,12,5,1,0,0,2
2019-20,1629734,Kyle Alexander,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,12.0,1,1,0,0,0,2,2,0,0,0,1
2019-20,203998,Bruno Caboclo,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,16.6,4,9,2,2,1,11,6,0,2,1,4
2019-20,201568,Danilo Gallinari,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,8.866666666666667,0,3,3,3,0,3,1,0,0,0,0
2019-20,1629130,Duncan Robinson,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,13.4,0,3,0,0,0,0,2,1,0,0,2
2019-20,203210,JaMychal Green,LA Clippers,0021901317,2020-08-14,LAC vs. OKC,W,27.416666666666668,5,11,0,0,3,13,8,0,1,0,3
2019-20,203658,Norvel Pelle,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,9.248333333333333,3,4,0,0,0,6,2,0,0,0,1
2019-20,1626187,Michael Frazier II,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,16.6,0,4,0,0,0,0,1,0,0,0,1
2019-20,204456,T.J. McConnell,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,21.216666666666665,4,8,0,0,0,8,3,8,1,0,2
2019-20,201601,Luc Mbah a Moute,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,13.916666666666666,1,3,1,2,0,3,1,0,0,0,0
2019-20,203463,Ben McLemore,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,11.35,1,4,0,0,1,3,2,1,1,0,0
2019-20,203960,JaKarr Sampson,Indiana Pacers,0021901316,2020-08-14,IND vs. MIA,W,23.366666666666667,5,9,0,0,0,10,4,2,2,0,2
2019-20,203085,Austin Rivers,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,12.35,0,2,1,2,0,1,1,0,1,0,1
2019-20,1626196,Josh Richardson,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,23.3,2,4,0,0,1,5,1,1,0,0,0
2019-20,203954,Joel Embiid,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,22.851666666666667,6,12,2,3,0,14,6,1,1,1,5
2019-20,203924,Jerami Grant,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,18.3,1,6,0,0,0,2,2,1,0,0,0
2019-20,202704,Reggie Jackson,LA Clippers,0021901317,2020-08-14,LAC vs. OKC,W,16.195,2,8,2,2,1,7,2,3,0,0,3
2019-20,203496,Robert Covington,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,24.133333333333333,1,4,2,2,1,5,5,1,2,2,1
2019-20,203457,Nerlens Noel,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,15.366666666666667,2,2,1,2,0,5,1,0,0,1,2
2019-20,1626181,Norman Powell,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,22.8,6,9,0,0,3,15,6,2,1,1,3
2019-20,1628449,Chris Boucher,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,21.5,3,8,2,3,1,9,9,0,0,1,1
2019-20,1629608,Dewan Hernandez,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,12.7,2,6,0,0,0,4,7,1,0,0,1
2019-20,1629056,Terence Davis,Toronto Raptors,0021901318,2020-08-14,TOR vs. DEN,W,34.03333333333333,5,15,2,2,2,14,6,3,2,0,3
2019-20,200794,Paul Millsap,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,15.5,4,8,0,0,2,10,3,2,2,1,1
2019-20,1627826,Ivica Zubac,LA Clippers,0021901317,2020-08-14,LAC vs. OKC,W,10.7,2,3,2,2,0,6,4,0,0,1,1
2019-20,203486,Mason Plumlee,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,19.7,4,6,2,3,0,10,3,2,0,4,0
2019-20,1629626,Bol Bol,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,15.45,2,6,4,5,0,8,4,2,0,3,2
2019-20,201960,DeMarre Carroll,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,24.583333333333332,2,5,0,0,1,5,4,1,1,0,1
2019-20,201145,Jeff Green,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,25.133333333333333,8,10,1,1,0,17,0,4,1,1,0
2019-20,200782,P.J. Tucker,Houston Rockets,0021901315,2020-08-14,HOU vs. PHI,L,29.05,3,6,0,0,1,7,1,2,0,1,0
2019-20,1628985,Devon Hall,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,24.266666666666666,4,12,1,4,3,12,1,4,3,0,1
2019-20,1629003,Shake Milton,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,19.166666666666668,4,7,0,0,3,11,2,1,0,0,2
2019-20,203471,Dennis Schroder,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,25.483333333333334,6,12,2,2,3,17,1,4,1,0,2
2019-20,1628987,Kevin Hervey,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,11.183333333333334,2,6,0,0,1,5,4,1,0,0,0
2019-20,1629680,Matisse Thybulle,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,17.683333333333334,3,4,0,0,1,7,2,1,4,2,1
2019-20,1627884,Derrick Jones Jr.,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,16.05,1,2,1,2,0,3,2,2,2,0,0
2019-20,1629735,Chris Silva,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,24.483333333333334,2,4,1,4,0,5,11,1,0,3,1
2019-20,203086,Meyers Leonard,Miami Heat,0021901316,2020-08-14,MIA @ IND,L,28.766666666666666,3,7,1,2,2,9,7,0,0,0,3
2019-20,1628966,Keita Bates-Diop,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,24.35,3,11,4,4,1,11,6,0,1,2,2
2019-20,1628470,Torrey Craig,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,14.966666666666667,1,6,0,0,1,3,4,3,0,0,1
2019-20,203526,Raul Neto,Philadelphia 76ers,0021901315,2020-08-14,PHI @ HOU,W,18.733333333333334,4,8,5,7,1,14,3,5,0,0,0
2019-20,1629076,Tyler Cook,Denver Nuggets,0021901318,2020-08-14,DEN @ TOR,L,16.183333333333334,1,2,2,2,0,4,4,0,2,0,2
2019-20,1629647,Darius Bazley,Oklahoma City Thunder,0021901317,2020-08-14,OKC @ LAC,L,30.783333333333335,3,12,1,3,2,9,8,1,0,2,1
2019-20,203953,Jabari Parker,Sacramento Kings,0021901310,2020-08-13,SAC @ LAL,W,29.783333333333335,9,10,0,1,1,19,8,6,0,0,3
2019-20,201937,Ricky Rubio,Phoenix Suns,0021901313,2020-08-13,PHX vs. DAL,W,20.856666666666666,2,6,1,1,2,7,2,12,1,0,1
2019-20,1629026,Kenrich Williams,New Orleans Pelicans,0021901312,2020-08-13,NOP @ ORL,L,18.816666666666666,0,1,0,0,0,0,5,1,2,0,0
2019-20,1628969,Mikal Bridges,Phoenix Suns,0021901313,2020-08-13,PHX vs. DAL,W,27.766666666666666,6,10,0,0,2,14,4,3,0,1,1
2019-20,1628412,Frank Mason,Milwaukee Bucks,0021901311,2020-08-13,MIL @ MEM,L,25.9,7,13,1,2,3,18,4,8,1,1,1
2019-20,201572,Brook Lopez,Milwaukee Bucks,0021901311,2020-08-13,MIL @ MEM,L,19.8,6,14,5,5,2,19,9,1,0,1,0
2019-20,203903,Jordan Clarkson,Utah Jazz,0021901314,2020-08-13,UTA vs. SAS,W,14.033333333333333,4,12,0,0,3,11,2,1,0,0,2
2019-20,1628400,Semi Ojeleye,Boston Celtics,0021901308,2020-08-13,BOS vs. WAS,L,31.083333333333332,4,11,3,3,2,13,8,2,1,0,3
2019-20,1628418,Thomas Bryant,Washington Wizards,0021901308,2020-08-13,WAS @ BOS,W,32.85,10,15,4,6,2,26,9,2,4,2,2
2019-20,1628415,Dillon Brooks,Memphis Grizzlies,0021901311,2020-08-13,MEM vs. MIL,W,32.6,12,18,3,5,4,31,2,2,0,1,1
2019-20,1626153,Delon Wright,Dallas Mavericks,0021901313,2020-08-13,DAL @ PHX,L,21.883333333333333,2,4,0,0,0,4,2,4,1,0,1
2019-20,203925,Joe Harris,Brooklyn Nets,0021901309,2020-08-13,BKN vs. POR,L,34.425,9,14,0,0,1,19,3,4,0,0,3
2019-20,1627747,Caris LeVert,Brooklyn Nets,0021901309,2020-08-13,BKN vs. POR,L,32.80833333333333,16,29,4,4,1,37,6,9,2,1,6
2019-20,1629234,Drew Eubanks,San Antonio Spurs,0021901314,2020-08-13,SAS @ UTA,L,27.233333333333334,1,6,6,8,0,8,7,3,0,4,1
2019-20,201577,Robin Lopez,Milwaukee Bucks,0021901311,2020-08-13,MIL @ MEM,L,21.02,2,9,1,2,0,5,4,0,0,1,0
2019-20,1629018,Gary Trent Jr.,Portland Trail Blazers,0021901309,2020-08-13,POR @ BKN,W,36.666666666666664,6,13,0,0,4,16,1,1,2,1,1
2019-20,1628402,Frank Jackson,New Orleans Pelicans,0021901312,2020-08-13,NOP @ ORL,L,36.35,12,24,4,5,3,31,2,5,1,0,0
2019-20,201571,D.J. Augustin,Orlando Magic,0021901312,2020-08-13,ORL vs. NOP,W,22.1,7,10,7,7,1,22,4,6,0,0,2
2019-20,1628382,Justin Jackson,Dallas Mavericks,0021901313,2020-08-13,DAL @ PHX,L,28.75,5,10,2,2,1,13,2,0,0,0,1
2019-20,1628391,D.J. Wilson,Milwaukee Bucks,0021901311,2020-08-13,MIL @ MEM,L,30.216666666666665,5,10,0,0,2,12,8,1,1,0,1
2019-20,1629661,Cameron Johnson,Phoenix Suns,0021901313,2020-08-13,PHX vs. DAL,W,30.1,7,11,0,0,1,15,5,3,2,1,0
2019-20,202397,Ish Smith,Washington Wizards,0021901308,2020-08-13,WAS @ BOS,W,30.55,5,13,1,2,0,11,3,8,1,2,5
2019-20,1629610,DaQuan Jeffries,Sacramento Kings,0021901310,2020-08-13,SAC @ LAL,W,25.616666666666667,3,7,0,0,1,7,4,0,1,0,1
2019-20,1629140,Johnathan Williams,Washington Wizards,0021901308,2020-08-13,WAS @ BOS,W,25.3,2,7,1,2,0,5,16,1,0,1,1
2019-20,1627741,Buddy Hield,Sacramento Kings,0021901310,2020-08-13,SAC @ LAL,W,26.333333333333332,10,17,0,0,8,28,5,2,2,0,2
2019-20,1629677,Luka Samanic,San Antonio Spurs,0021901314,2020-08-13,SAS @ UTA,L,31.45,5,10,3,4,3,16,6,3,0,1,1
2019-20,201980,Danny Green,Los Angeles Lakers,0021901310,2020-08-13,LAL vs. SAC,L,13.55,1,4,0,0,0,2,2,2,2,0,0
2019-20,1628411,Wes Iwundu,Orlando Magic,0021901312,2020-08-13,ORL vs. NOP,W,26.916666666666668,4,5,5,7,2,15,4,6,0,0,2
2019-20,202355,Hassan Whiteside,Portland Trail Blazers,0021901309,2020-08-13,POR @ BKN,W,15.25,5,6,6,6,0,16,9,1,1,2,1
2019-20,1629659,Talen Horton-Tucker,Los Angeles Lakers,0021901310,2020-08-13,LAL vs. SAC,L,34.016666666666666,6,15,0,0,2,14,4,3,3,0,2
2019-20,1629740,Nicolo Melli,New Orleans Pelicans,0021901312,2020-08-13,NOP @ ORL,L,25.3,2,6,1,1,1,6,5,1,0,0,0
2019-20,1627751,Jakob Poeltl,San Antonio Spurs,0021901314,2020-08-13,SAS @ UTA,L,21.133333333333333,5,6,0,5,0,10,5,3,1,2,1
2019-20,1628972,Troy Brown Jr.,Washington Wizards,0021901308,2020-08-13,WAS @ BOS,W,33.75,5,16,5,6,2,17,8,3,3,1,3
2019-20,1629714,Jarrell Brantley,Utah Jazz,0021901314,2020-08-13,UTA vs. SAS,W,28.983333333333334,6,13,1,2,0,13,4,6,1,1,0
2019-20,203077,Michael Kidd-Gilchrist,Dallas Mavericks,0021901313,2020-08-13,DAL @ PHX,L,21.05,2,5,2,2,0,6,3,1,0,1,1
2019-20,203079,Dion Waiters,Los Angeles Lakers,0021901310,2020-08-13,LAL vs. SAC,L,25.833333333333332,8,15,0,1,3,19,3,5,0,0,5
2019-20,202696,Nikola Vucevic,Orlando Magic,0021901312,2020-08-13,ORL vs. NOP,W,25.916666666666668,10,11,0,0,3,23,6,3,1,0,0
2019-20,1626246,Boban Marjanovic,Dallas Mavericks,0021901313,2020-08-13,DAL @ PHX,L,29.383333333333333,9,14,0,1,0,18,20,3,0,0,3
2019-20,1629625,Justin Wright-Foreman,Utah Jazz,0021901314,2020-08-13,UTA vs. SAS,W,16.95,2,7,0,0,0,4,2,3,1,0,1
2019-20,1628978,Donte DiVincenzo,Milwaukee Bucks,0021901311,2020-08-13,MIL @ MEM,L,18.963333333333335,7,13,0,2,3,17,4,4,1,0,5
2019-20,203992,Bogdan Bogdanovic,Sacramento Kings,0021901310,2020-08-13,SAC @ LAL,W,26.983333333333334,11,23,0,0,5,27,6,9,2,0,1
2019-20,1628404,Josh Hart,New Orleans Pelicans,0021901312,2020-08-13,NOP @ ORL,L,35.95,7,14,6,8,3,23,14,6,1,1,2
2019-20,1627784,Jarrod Uthoff,Washington Wizards,0021901308,2020-08-13,WAS @ BOS,W,24.333333333333332,3,7,0,0,2,8,3,0,0,0,0
2019-20,1629029,Luka Doncic,Dallas Mavericks,0021901313,2020-08-13,DAL @ PHX,L,13.233333333333333,5,9,7,7,1,18,5,0,1,0,1
2019-20,203468,CJ McCollum,Portland Trail Blazers,0021901309,2020-08-13,POR @ BKN,W,43.9,9,21,7,8,0,25,4,7,3,1,2
2019-20,1627749,Dejounte Murray,San Antonio Spurs,0021901314,2020-08-13,SAS @ UTA,L,36.266666666666666,5,14,2,2,0,12,14,7,0,0,6
2019-20,1628414,Sindarius Thornwell,New Orleans Pelicans,0021901312,2020-08-13,NOP @ ORL,L,19.4,3,6,2,4,1,9,2,1,0,1,2
2019-20,203937,Kyle Anderson,Memphis Grizzlies,0021901311,2020-08-13,MEM vs. MIL,W,28.883333333333333,3,6,2,4,2,10,3,6,2,1,3
2019-20,1629638,Nickeil Alexander-Walker,New Orleans Pelicans,0021901312,2020-08-13,NOP @ ORL,L,35.81666666666667,11,18,5,5,2,29,1,7,1,0,6
2019-20,202685,Jonas Valanciunas,Memphis Grizzlies,0021901311,2020-08-13,MEM vs. MIL,W,32.53333333333333,11,17,2,2,2,26,19,12,0,0,3
2019-20,204060,Joe Ingles,Utah Jazz,0021901314,2020-08-13,UTA vs. SAS,W,12.333333333333334,1,4,0,0,1,3,1,3,1,0,0
2019-20,1629640,Keldon Johnson,San Antonio Spurs,0021901314,2020-08-13,SAS @ UTA,L,30.183333333333334,8,12,7,8,1,24,2,0,1,0,3
2019-20,1629028,Deandre Ayton,Phoenix Suns,0021901313,2020-08-13,PHX vs. DAL,W,26.183333333333334,5,10,1,2,0,11,9,3,2,1,0
2019-20,202357,Nemanja Bjelica,Sacramento Kings,0021901310,2020-08-13,SAC @ LAL,W,32.36666666666667,5,8,4,5,1,15,8,13,2,1,1
2019-20,1629719,Devontae Cacok,Los Angeles Lakers,0021901310,2020-08-13,LAL vs. SAC,L,8.866666666666667,3,6,0,0,0,6,5,1,0,0,0
2019-20,1627789,Timothe Luwawu-Cabarrot,Brooklyn Nets,0021901309,2020-08-13,BKN vs. POR,L,31.966666666666665,7,13,0,0,5,19,8,1,0,0,2
2019-20,202066,Garrett Temple,Brooklyn Nets,0021901309,2020-08-13,BKN vs. POR,L,36.9,4,10,4,4,3,15,10,4,0,0,0
2019-20,2747,JR Smith,Los Angeles Lakers,0021901310,2020-08-13,LAL vs. SAC,L,25.283333333333335,5,10,0,0,1,11,1,2,0,0,1
2019-20,1629022,Lonnie Walker IV,San Antonio Spurs,0021901314,2020-08-13,SAS @ UTA,L,34.06666666666667,6,14,0,0,3,15,3,4,1,0,1
2019-20,1626164,Devin Booker,Phoenix Suns,0021901313,2020-08-13,PHX vs. DAL,W,31.543333333333333,11,20,5,5,0,27,7,5,0,0,0
2019-20,1626170,Jerian Grant,Washington Wizards,0021901308,2020-08-13,WAS @ BOS,W,17.15,1,6,4,4,0,6,3,2,0,0,0
2019-20,1629682,Tremont Waters,Boston Celtics,0021901308,2020-08-13,BOS vs. WAS,L,29.65,2,14,2,2,1,7,3,4,5,0,5
2019-20,203994,Jusuf Nurkic,Portland Trail Blazers,0021901309,2020-08-13,POR @ BKN,W,32.75,11,17,0,1,0,22,10,3,1,0,1
2019-20,203476,Gorgui Dieng,Memphis Grizzlies,0021901311,2020-08-13,MEM vs. MIL,W,15.466666666666667,1,6,4,4,1,7,4,1,0,0,1
2019-20,1629002,Chimezie Metu,San Antonio Spurs,0021901314,2020-08-13,SAS @ UTA,L,26.666666666666668,3,6,4,5,0,10,6,4,1,1,2
2019-20,1629630,Ja Morant,Memphis Grizzlies,0021901311,2020-08-13,MEM vs. MIL,W,34.083333333333336,5,17,2,2,0,12,13,10,0,0,6
2019-20,202954,Brad Wanamaker,Boston Celtics,0021901308,2020-08-13,BOS vs. WAS,L,17.533333333333335,3,5,0,0,0,6,1,4,0,0,0
2019-20,1629067,Isaac Bonga,Washington Wizards,0021901308,2020-08-13,WAS @ BOS,W,29.716666666666665,2,7,1,2,1,6,3,4,2,0,2
2019-20,1629035,Carsen Edwards,Boston Celtics,0021901308,2020-08-13,BOS vs. WAS,L,23.65,3,11,1,3,1,8,4,0,1,0,0
